"","Chemical.class","Standard.match"
"HILIC-pos_Cluster_0064","Ketones",NA
"HILIC-pos_Cluster_0065",NA,NA
"HILIC-pos_Cluster_0067",NA,NA
"HILIC-pos_Cluster_0068","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0070","Azoles",NA
"HILIC-pos_Cluster_0071","N-alkylpyrrolidines",NA
"HILIC-pos_Cluster_0072","N-alkylpyrrolidines",NA
"HILIC-pos_Cluster_0073",NA,NA
"HILIC-pos_Cluster_0074",NA,NA
"HILIC-pos_Cluster_0076",NA,NA
"HILIC-pos_Cluster_0078","Azolidines",NA
"HILIC-pos_Cluster_0080",NA,NA
"HILIC-pos_Cluster_0084",NA,NA
"HILIC-pos_Cluster_0085",NA,NA
"HILIC-pos_Cluster_0087","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0088","Amines",NA
"HILIC-pos_Cluster_0095","Carboximidic acids and derivatives",NA
"HILIC-pos_Cluster_0096",NA,NA
"HILIC-pos_Cluster_0098","Dihydrothiophenes",NA
"HILIC-pos_Cluster_0101","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0102","Benzoxazolones",NA
"HILIC-pos_Cluster_0103",NA,NA
"HILIC-pos_Cluster_0104","Purines and purine derivatives",NA
"HILIC-pos_Cluster_0105","Ketones",NA
"HILIC-pos_Cluster_0106","Ketones",NA
"HILIC-pos_Cluster_0107",NA,NA
"HILIC-pos_Cluster_0111","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0112","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0115","Phenols",NA
"HILIC-pos_Cluster_0117","Imidazoles",NA
"HILIC-pos_Cluster_0125","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0126",NA,NA
"HILIC-pos_Cluster_0127","Pyranones and derivatives",NA
"HILIC-pos_Cluster_0129","Thiolactams",NA
"HILIC-pos_Cluster_0131","Azolidines",NA
"HILIC-pos_Cluster_0137","Proline and derivatives",NA
"HILIC-pos_Cluster_0139",NA,NA
"HILIC-pos_Cluster_0142","Alpha-hydrogen aldehydes",NA
"HILIC-pos_Cluster_0144",NA,NA
"HILIC-pos_Cluster_0145","Indoles",NA
"HILIC-pos_Cluster_0146","Indoles",NA
"HILIC-pos_Cluster_0147","Alpha amino acids",NA
"HILIC-pos_Cluster_0149","Alpha amino acids",NA
"HILIC-pos_Cluster_0158","Alpha amino acids",NA
"HILIC-pos_Cluster_0159","Alpha amino acids",NA
"HILIC-pos_Cluster_0161","Oxazinanes",NA
"HILIC-pos_Cluster_0162","Oxazinanes",NA
"HILIC-pos_Cluster_0163",NA,NA
"HILIC-pos_Cluster_0164","Cinnamaldehydes",NA
"HILIC-pos_Cluster_0166","Indoles and derivatives",NA
"HILIC-pos_Cluster_0168","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0169","Pyrrolizines",NA
"HILIC-pos_Cluster_0170","Pyrrolizines",NA
"HILIC-pos_Cluster_0171","Pyrrolizines",NA
"HILIC-pos_Cluster_0174",NA,NA
"HILIC-pos_Cluster_0178",NA,NA
"HILIC-pos_Cluster_0179",NA,NA
"HILIC-pos_Cluster_0180",NA,NA
"HILIC-pos_Cluster_0182",NA,NA
"HILIC-pos_Cluster_0183","Aminobenzoic acids",NA
"HILIC-pos_Cluster_0185","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0186","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0187","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0188",NA,NA
"HILIC-pos_Cluster_0189","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0190","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0193","Phenols",NA
"HILIC-pos_Cluster_0195","Phenols",NA
"HILIC-pos_Cluster_0196","N-acetyl-2-arylethylamines",NA
"HILIC-pos_Cluster_0199",NA,NA
"HILIC-pos_Cluster_0200","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_0201",NA,NA
"HILIC-pos_Cluster_0202",NA,NA
"HILIC-pos_Cluster_0206",NA,NA
"HILIC-pos_Cluster_0208","L-alpha-amino acids",NA
"HILIC-pos_Cluster_0209",NA,NA
"HILIC-pos_Cluster_0210","Imidazolidines",NA
"HILIC-pos_Cluster_0211",NA,NA
"HILIC-pos_Cluster_0212",NA,NA
"HILIC-pos_Cluster_0213","Alpha amino acids",NA
"HILIC-pos_Cluster_0215","Alpha amino acids",NA
"HILIC-pos_Cluster_0216","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0217","Alpha amino acids",NA
"HILIC-pos_Cluster_0219","Alpha amino acids",NA
"HILIC-pos_Cluster_0221","Alpha amino acids",NA
"HILIC-pos_Cluster_0222","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_0223","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0224","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0225","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0226",NA,NA
"HILIC-pos_Cluster_0227","Indoles and derivatives",NA
"HILIC-pos_Cluster_0228","Cysteine and derivatives",NA
"HILIC-pos_Cluster_0232",NA,NA
"HILIC-pos_Cluster_0233","Pyrazines",NA
"HILIC-pos_Cluster_0235","Indoles and derivatives",NA
"HILIC-pos_Cluster_0236","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0237","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0238","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0239","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0240","Hydroxycinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0241","Hydroxycinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0247","Alpha amino acid esters",NA
"HILIC-pos_Cluster_0249","Phenylalanine and derivatives",NA
"HILIC-pos_Cluster_0250","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0251","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0252",NA,NA
"HILIC-pos_Cluster_0253","Sugar acids and derivatives",NA
"HILIC-pos_Cluster_0255",NA,NA
"HILIC-pos_Cluster_0256",NA,NA
"HILIC-pos_Cluster_0257","M-methoxybenzoic acids and derivatives",NA
"HILIC-pos_Cluster_0258","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0260","M-methoxybenzoic acids and derivatives",NA
"HILIC-pos_Cluster_0262","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0264","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0265",NA,NA
"HILIC-pos_Cluster_0266",NA,NA
"HILIC-pos_Cluster_0267",NA,NA
"HILIC-pos_Cluster_0269",NA,NA
"HILIC-pos_Cluster_0270","Phenols",NA
"HILIC-pos_Cluster_0274",NA,NA
"HILIC-pos_Cluster_0276","Alpha amino acids and derivatives",NA
"HILIC-pos_Cluster_0278","Dipeptides",NA
"HILIC-pos_Cluster_0279","Dipeptides",NA
"HILIC-pos_Cluster_0280",NA,NA
"HILIC-pos_Cluster_0281","Naphthalenes",NA
"HILIC-pos_Cluster_0282",NA,NA
"HILIC-pos_Cluster_0283",NA,NA
"HILIC-pos_Cluster_0285",NA,NA
"HILIC-pos_Cluster_0287","N-acyl-L-alpha-amino acids",NA
"HILIC-pos_Cluster_0288","Quinolines and derivatives",NA
"HILIC-pos_Cluster_0289","Quinolines and derivatives",NA
"HILIC-pos_Cluster_0292",NA,NA
"HILIC-pos_Cluster_0293","Asparagine and derivatives",NA
"HILIC-pos_Cluster_0294","Glutamine and derivatives",NA
"HILIC-pos_Cluster_0297","Indoles",NA
"HILIC-pos_Cluster_0299",NA,NA
"HILIC-pos_Cluster_0300",NA,NA
"HILIC-pos_Cluster_0301","Indoles and derivatives",NA
"HILIC-pos_Cluster_0303",NA,NA
"HILIC-pos_Cluster_0304","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0305",NA,NA
"HILIC-pos_Cluster_0307",NA,NA
"HILIC-pos_Cluster_0311",NA,NA
"HILIC-pos_Cluster_0312","Benzoxazolones",NA
"HILIC-pos_Cluster_0313","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0314","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0315","Alkyl-phenylketones",NA
"HILIC-pos_Cluster_0318","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0320","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0321","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0324","Cyclohexanols",NA
"HILIC-pos_Cluster_0328",NA,NA
"HILIC-pos_Cluster_0329","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0331","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0332","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0335","Pteridines and derivatives",NA
"HILIC-pos_Cluster_0336","Amphetamines and derivatives",NA
"HILIC-pos_Cluster_0337",NA,NA
"HILIC-pos_Cluster_0338",NA,NA
"HILIC-pos_Cluster_0339","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0344","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0345",NA,NA
"HILIC-pos_Cluster_0346",NA,NA
"HILIC-pos_Cluster_0347","Piperidines",NA
"HILIC-pos_Cluster_0348",NA,NA
"HILIC-pos_Cluster_0349","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0350",NA,NA
"HILIC-pos_Cluster_0351",NA,NA
"HILIC-pos_Cluster_0355",NA,NA
"HILIC-pos_Cluster_0357",NA,NA
"HILIC-pos_Cluster_0359",NA,NA
"HILIC-pos_Cluster_0361","Dipeptides",NA
"HILIC-pos_Cluster_0363","Dipeptides",NA
"HILIC-pos_Cluster_0364","Ketones",NA
"HILIC-pos_Cluster_0365","Ketones",NA
"HILIC-pos_Cluster_0368",NA,NA
"HILIC-pos_Cluster_0369","Triazines",NA
"HILIC-pos_Cluster_0370",NA,NA
"HILIC-pos_Cluster_0371",NA,NA
"HILIC-pos_Cluster_0372","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0373","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0376","Dipeptides",NA
"HILIC-pos_Cluster_0381",NA,NA
"HILIC-pos_Cluster_0382","Naphthalenes",NA
"HILIC-pos_Cluster_0385","Indolyl carboxylic acids and derivatives",NA
"HILIC-pos_Cluster_0386","Tropane alkaloids",NA
"HILIC-pos_Cluster_0387","Glutamine and derivatives",NA
"HILIC-pos_Cluster_0392",NA,NA
"HILIC-pos_Cluster_0394","Benzene and substituted derivatives",NA
"HILIC-pos_Cluster_0395","Biphenyls and derivatives",NA
"HILIC-pos_Cluster_0397","Monoterpenoids",NA
"HILIC-pos_Cluster_0398",NA,NA
"HILIC-pos_Cluster_0401","Benzoic acid esters",NA
"HILIC-pos_Cluster_0402","Benzoic acid esters",NA
"HILIC-pos_Cluster_0404","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0406","Pyrrolopyridines",NA
"HILIC-pos_Cluster_0407",NA,NA
"HILIC-pos_Cluster_0408",NA,NA
"HILIC-pos_Cluster_0409",NA,NA
"HILIC-pos_Cluster_0410",NA,NA
"HILIC-pos_Cluster_0411",NA,NA
"HILIC-pos_Cluster_0412","Acylaminobenzoic acid and derivatives",NA
"HILIC-pos_Cluster_0413","Acylaminobenzoic acid and derivatives",NA
"HILIC-pos_Cluster_0415","Phenols",NA
"HILIC-pos_Cluster_0416","Azoles",NA
"HILIC-pos_Cluster_0417","Homogeneous transition metal compounds",NA
"HILIC-pos_Cluster_0420",NA,NA
"HILIC-pos_Cluster_0421",NA,NA
"HILIC-pos_Cluster_0424",NA,NA
"HILIC-pos_Cluster_0427",NA,NA
"HILIC-pos_Cluster_0429",NA,NA
"HILIC-pos_Cluster_0430","Diazinanes",NA
"HILIC-pos_Cluster_0431",NA,NA
"HILIC-pos_Cluster_0432",NA,NA
"HILIC-pos_Cluster_0434","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0436",NA,NA
"HILIC-pos_Cluster_0438",NA,NA
"HILIC-pos_Cluster_0439","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0440","Glutamine and derivatives",NA
"HILIC-pos_Cluster_0441","Glutamine and derivatives",NA
"HILIC-pos_Cluster_0442","Dipeptides",NA
"HILIC-pos_Cluster_0443","Dipeptides",NA
"HILIC-pos_Cluster_0444","Dipeptides",NA
"HILIC-pos_Cluster_0448",NA,NA
"HILIC-pos_Cluster_0450",NA,NA
"HILIC-pos_Cluster_0451","Indoles and derivatives",NA
"HILIC-pos_Cluster_0452",NA,NA
"HILIC-pos_Cluster_0460","Quinolines and derivatives",NA
"HILIC-pos_Cluster_0461",NA,NA
"HILIC-pos_Cluster_0462",NA,NA
"HILIC-pos_Cluster_0463","Pyrrolizines",NA
"HILIC-pos_Cluster_0464","Pyrrolizines",NA
"HILIC-pos_Cluster_0467",NA,NA
"HILIC-pos_Cluster_0469","Naphthalenes",NA
"HILIC-pos_Cluster_0470","Naphthalenes",NA
"HILIC-pos_Cluster_0472",NA,NA
"HILIC-pos_Cluster_0474","Phenol ethers",NA
"HILIC-pos_Cluster_0477",NA,NA
"HILIC-pos_Cluster_0478",NA,NA
"HILIC-pos_Cluster_0480",NA,NA
"HILIC-pos_Cluster_0481",NA,NA
"HILIC-pos_Cluster_0483","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0485",NA,NA
"HILIC-pos_Cluster_0490",NA,NA
"HILIC-pos_Cluster_0491",NA,NA
"HILIC-pos_Cluster_0494","Alpha-branched alpha,beta-unsaturated ketones",NA
"HILIC-pos_Cluster_0496","Pyrimidine nucleosides",NA
"HILIC-pos_Cluster_0497",NA,NA
"HILIC-pos_Cluster_0498","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0499","Diazines",NA
"HILIC-pos_Cluster_0500","Dipeptides",NA
"HILIC-pos_Cluster_0502","Macrolides and analogues",NA
"HILIC-pos_Cluster_0504",NA,NA
"HILIC-pos_Cluster_0505","Thiazoles",NA
"HILIC-pos_Cluster_0506",NA,NA
"HILIC-pos_Cluster_0508",NA,NA
"HILIC-pos_Cluster_0509",NA,NA
"HILIC-pos_Cluster_0512","Dipeptides",NA
"HILIC-pos_Cluster_0514",NA,NA
"HILIC-pos_Cluster_0515",NA,NA
"HILIC-pos_Cluster_0516","Triazines",NA
"HILIC-pos_Cluster_0517",NA,NA
"HILIC-pos_Cluster_0518","Acyl carnitines",NA
"HILIC-pos_Cluster_0520",NA,NA
"HILIC-pos_Cluster_0522",NA,NA
"HILIC-pos_Cluster_0523",NA,NA
"HILIC-pos_Cluster_0528",NA,NA
"HILIC-pos_Cluster_0530","Dipeptides",NA
"HILIC-pos_Cluster_0531","Dipeptides",NA
"HILIC-pos_Cluster_0534","Beta amino acids and derivatives",NA
"HILIC-pos_Cluster_0536",NA,NA
"HILIC-pos_Cluster_0537","Sesquiterpenoids",NA
"HILIC-pos_Cluster_0538","Indoles and derivatives",NA
"HILIC-pos_Cluster_0539","Imidazopyrimidines",NA
"HILIC-pos_Cluster_0541","Dipeptides",NA
"HILIC-pos_Cluster_0543","Phenylpropanes",NA
"HILIC-pos_Cluster_0544","Indoles and derivatives",NA
"HILIC-pos_Cluster_0545",NA,NA
"HILIC-pos_Cluster_0546","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0547","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0548","Dipeptides",NA
"HILIC-pos_Cluster_0551","Alpha amino acid amides",NA
"HILIC-pos_Cluster_0553","Indoles and derivatives",NA
"HILIC-pos_Cluster_0554",NA,NA
"HILIC-pos_Cluster_0555","Benzoic acids and derivatives",NA
"HILIC-pos_Cluster_0556","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0558","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0559","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0560","Carbonyl compounds",NA
"HILIC-pos_Cluster_0561",NA,NA
"HILIC-pos_Cluster_0562","Epoxides",NA
"HILIC-pos_Cluster_0563","Epoxides",NA
"HILIC-pos_Cluster_0564","Epoxides",NA
"HILIC-pos_Cluster_0565","Epoxides",NA
"HILIC-pos_Cluster_0566",NA,NA
"HILIC-pos_Cluster_0567",NA,NA
"HILIC-pos_Cluster_0568","Pyrimidines and pyrimidine derivatives",NA
"HILIC-pos_Cluster_0570",NA,NA
"HILIC-pos_Cluster_0571",NA,NA
"HILIC-pos_Cluster_0574",NA,NA
"HILIC-pos_Cluster_0575",NA,NA
"HILIC-pos_Cluster_0576","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0577","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0578","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0579","Pyridines and derivatives",NA
"HILIC-pos_Cluster_0582",NA,NA
"HILIC-pos_Cluster_0583",NA,NA
"HILIC-pos_Cluster_0584","Keto acids and derivatives",NA
"HILIC-pos_Cluster_0585","Diazines",NA
"HILIC-pos_Cluster_0586","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0587","Organonitrogen compounds",NA
"HILIC-pos_Cluster_0591",NA,NA
"HILIC-pos_Cluster_0592","Medium-chain fatty acids",NA
"HILIC-pos_Cluster_0595","Diazines",NA
"HILIC-pos_Cluster_0597","Monoterpenoids",NA
"HILIC-pos_Cluster_0599",NA,NA
"HILIC-pos_Cluster_0602",NA,NA
"HILIC-pos_Cluster_0603",NA,NA
"HILIC-pos_Cluster_0604","Carboxylic acid derivatives",NA
"HILIC-pos_Cluster_0606","Carboxylic acid derivatives",NA
"HILIC-pos_Cluster_0607",NA,NA
"HILIC-pos_Cluster_0610","Dipeptides",NA
"HILIC-pos_Cluster_0612","Dipeptides",NA
"HILIC-pos_Cluster_0613",NA,NA
"HILIC-pos_Cluster_0614",NA,NA
"HILIC-pos_Cluster_0615",NA,NA
"HILIC-pos_Cluster_0617",NA,NA
"HILIC-pos_Cluster_0620","Dipeptides",NA
"HILIC-pos_Cluster_0621","Dipeptides",NA
"HILIC-pos_Cluster_0622",NA,NA
"HILIC-pos_Cluster_0623","Dipeptides",NA
"HILIC-pos_Cluster_0624","Dipeptides",NA
"HILIC-pos_Cluster_0627","Dipeptides",NA
"HILIC-pos_Cluster_0629","L-alpha-amino acids",NA
"HILIC-pos_Cluster_0630","Azolidines",NA
"HILIC-pos_Cluster_0631",NA,NA
"HILIC-pos_Cluster_0634",NA,NA
"HILIC-pos_Cluster_0636",NA,NA
"HILIC-pos_Cluster_0640","Benzoic acid esters",NA
"HILIC-pos_Cluster_0644","Tetrahydroisoquinolines",NA
"HILIC-pos_Cluster_0645",NA,NA
"HILIC-pos_Cluster_0646",NA,NA
"HILIC-pos_Cluster_0647",NA,NA
"HILIC-pos_Cluster_0648",NA,NA
"HILIC-pos_Cluster_0652","Diazines",NA
"HILIC-pos_Cluster_0653",NA,NA
"HILIC-pos_Cluster_0654","Diazines",NA
"HILIC-pos_Cluster_0656",NA,NA
"HILIC-pos_Cluster_0659",NA,NA
"HILIC-pos_Cluster_0660",NA,NA
"HILIC-pos_Cluster_0662",NA,NA
"HILIC-pos_Cluster_0663",NA,NA
"HILIC-pos_Cluster_0664",NA,NA
"HILIC-pos_Cluster_0669",NA,NA
"HILIC-pos_Cluster_0670",NA,NA
"HILIC-pos_Cluster_0671",NA,NA
"HILIC-pos_Cluster_0672",NA,NA
"HILIC-pos_Cluster_0675",NA,NA
"HILIC-pos_Cluster_0676",NA,NA
"HILIC-pos_Cluster_0678",NA,NA
"HILIC-pos_Cluster_0680",NA,NA
"HILIC-pos_Cluster_0681",NA,NA
"HILIC-pos_Cluster_0682","Dipeptides",NA
"HILIC-pos_Cluster_0684","Dipeptides",NA
"HILIC-pos_Cluster_0686","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0688",NA,NA
"HILIC-pos_Cluster_0689","Nucleoside and nucleotide analogues",NA
"HILIC-pos_Cluster_0690","Pyrroloquinolines",NA
"HILIC-pos_Cluster_0692","Glutamine and derivatives",NA
"HILIC-pos_Cluster_0693","Glutamine and derivatives",NA
"HILIC-pos_Cluster_0695","Dipeptides",NA
"HILIC-pos_Cluster_0696","Peptides",NA
"HILIC-pos_Cluster_0697","Peptides",NA
"HILIC-pos_Cluster_0699","Peptides",NA
"HILIC-pos_Cluster_0700","Peptides",NA
"HILIC-pos_Cluster_0701","Dipeptides",NA
"HILIC-pos_Cluster_0703","Dipeptides",NA
"HILIC-pos_Cluster_0704","Dipeptides",NA
"HILIC-pos_Cluster_0705","Dipeptides",NA
"HILIC-pos_Cluster_0706","Dipeptides",NA
"HILIC-pos_Cluster_0707","Dipeptides",NA
"HILIC-pos_Cluster_0708","L-alpha-amino acids",NA
"HILIC-pos_Cluster_0709",NA,NA
"HILIC-pos_Cluster_0711","3'-thia pyrimidine nucleosides",NA
"HILIC-pos_Cluster_0712",NA,NA
"HILIC-pos_Cluster_0714","Dipeptides",NA
"HILIC-pos_Cluster_0715",NA,NA
"HILIC-pos_Cluster_0716",NA,NA
"HILIC-pos_Cluster_0717",NA,NA
"HILIC-pos_Cluster_0719",NA,NA
"HILIC-pos_Cluster_0720",NA,NA
"HILIC-pos_Cluster_0722",NA,NA
"HILIC-pos_Cluster_0723",NA,NA
"HILIC-pos_Cluster_0724",NA,NA
"HILIC-pos_Cluster_0726",NA,NA
"HILIC-pos_Cluster_0729",NA,NA
"HILIC-pos_Cluster_0730",NA,NA
"HILIC-pos_Cluster_0732",NA,NA
"HILIC-pos_Cluster_0733",NA,NA
"HILIC-pos_Cluster_0735","O-glycosyl compounds",NA
"HILIC-pos_Cluster_0736",NA,NA
"HILIC-pos_Cluster_0737","Diazines",NA
"HILIC-pos_Cluster_0740","Phenols",NA
"HILIC-pos_Cluster_0741",NA,NA
"HILIC-pos_Cluster_0742",NA,NA
"HILIC-pos_Cluster_0744","Flavones",NA
"HILIC-pos_Cluster_0745",NA,NA
"HILIC-pos_Cluster_0746","Glycerolipids",NA
"HILIC-pos_Cluster_0747","Benzazepines",NA
"HILIC-pos_Cluster_0748","Amino acids, peptides, and analogues",NA
"HILIC-pos_Cluster_0749","Dimethoxybenzenes",NA
"HILIC-pos_Cluster_0750","Alpha amino acids",NA
"HILIC-pos_Cluster_0751","Alpha amino acids",NA
"HILIC-pos_Cluster_0752","Alpha amino acids",NA
"HILIC-pos_Cluster_0754",NA,NA
"HILIC-pos_Cluster_0755",NA,NA
"HILIC-pos_Cluster_0756",NA,NA
"HILIC-pos_Cluster_0758","Fatty amides",NA
"HILIC-pos_Cluster_0759",NA,NA
"HILIC-pos_Cluster_0760",NA,NA
"HILIC-pos_Cluster_0761",NA,NA
"HILIC-pos_Cluster_0762","Aryl-phenylketones",NA
"HILIC-pos_Cluster_0763","Aryl-phenylketones",NA
"HILIC-pos_Cluster_0764","Glycerophosphocholines",NA
"HILIC-pos_Cluster_0768",NA,NA
"HILIC-pos_Cluster_0770","Isoindolines",NA
"HILIC-pos_Cluster_0771","Isoindolines",NA
"HILIC-pos_Cluster_0772","Styrenes",NA
"HILIC-pos_Cluster_0773",NA,NA
"HILIC-pos_Cluster_0774",NA,NA
"HILIC-pos_Cluster_0776","Dipeptides",NA
"HILIC-pos_Cluster_0777","Dipeptides",NA
"HILIC-pos_Cluster_0778","Dipeptides",NA
"HILIC-pos_Cluster_0779","Dipeptides",NA
"HILIC-pos_Cluster_0780","Dipeptides",NA
"HILIC-pos_Cluster_0782",NA,NA
"HILIC-pos_Cluster_0783","Biphenyls and derivatives",NA
"HILIC-pos_Cluster_0784","Dipeptides",NA
"HILIC-pos_Cluster_0786",NA,NA
"HILIC-pos_Cluster_0787",NA,NA
"HILIC-pos_Cluster_0788",NA,NA
"HILIC-pos_Cluster_0789","Cyanogenic glycosides",NA
"HILIC-pos_Cluster_0791",NA,NA
"HILIC-pos_Cluster_0792","Diazines",NA
"HILIC-pos_Cluster_0794","Dipeptides",NA
"HILIC-pos_Cluster_0795",NA,NA
"HILIC-pos_Cluster_0798","N-acetyl-2-arylethylamines",NA
"HILIC-pos_Cluster_0799","Hydroxycinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0800","Hydroxycinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0801","Benzene and substituted derivatives",NA
"HILIC-pos_Cluster_0802","Hydroxycinnamic acids and derivatives",NA
"HILIC-pos_Cluster_0804","Cyclic ketones",NA
"HILIC-pos_Cluster_0806",NA,NA
"HILIC-pos_Cluster_0807","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0808","Gamma amino acids and derivatives",NA
"HILIC-pos_Cluster_0810",NA,NA
"HILIC-pos_Cluster_0814","Alpha amino acids",NA
"HILIC-pos_Cluster_0815",NA,NA
"HILIC-pos_Cluster_0816",NA,NA
"HILIC-pos_Cluster_0819",NA,NA
"HILIC-pos_Cluster_0820",NA,NA
"HILIC-pos_Cluster_0821","Purine nucleosides",NA
"HILIC-pos_Cluster_0823",NA,NA
"HILIC-pos_Cluster_0824","Dipeptides",NA
"HILIC-pos_Cluster_0825","Dipeptides",NA
"HILIC-pos_Cluster_0826","Dipeptides",NA
"HILIC-pos_Cluster_0828",NA,NA
"HILIC-pos_Cluster_0829","Dipeptides",NA
"HILIC-pos_Cluster_0830","Dipeptides",NA
"HILIC-pos_Cluster_0832",NA,NA
"HILIC-pos_Cluster_0833","Isoflavonoids",NA
"HILIC-pos_Cluster_0836",NA,NA
"HILIC-pos_Cluster_0837","Long-chain fatty acids",NA
"HILIC-pos_Cluster_0838","Sesquiterpenoids",NA
"HILIC-pos_Cluster_0839","Sesquiterpenoids",NA
"HILIC-pos_Cluster_0840",NA,NA
"HILIC-pos_Cluster_0842","Morphinans",NA
"HILIC-pos_Cluster_0844","Dipeptides",NA
"HILIC-pos_Cluster_0847","Glucuronic acid derivatives",NA
"HILIC-pos_Cluster_0848",NA,NA
"HILIC-pos_Cluster_0849","Glucuronic acid derivatives",NA
"HILIC-pos_Cluster_0851","Harmala alkaloids",NA
"HILIC-pos_Cluster_0853","Cembrane diterpenoids",NA
"HILIC-pos_Cluster_0854",NA,NA
"HILIC-pos_Cluster_0855","Diphenylmethanes",NA
"HILIC-pos_Cluster_0856","Phenylalanine and derivatives",NA
"HILIC-pos_Cluster_0857","Benzodioxoles",NA
"HILIC-pos_Cluster_0860","Dipeptides",NA
"HILIC-pos_Cluster_0861",NA,NA
"HILIC-pos_Cluster_0862",NA,NA
"HILIC-pos_Cluster_0863","Diphenylmethanes",NA
"HILIC-pos_Cluster_0864","Harmala alkaloids",NA
"HILIC-pos_Cluster_0865","Harmala alkaloids",NA
"HILIC-pos_Cluster_0866","N-acyl-alpha amino acids",NA
"HILIC-pos_Cluster_0867","Dipeptides",NA
"HILIC-pos_Cluster_0869",NA,NA
"HILIC-pos_Cluster_0870","Androstane steroids",NA
"HILIC-pos_Cluster_0871",NA,NA
"HILIC-pos_Cluster_0872","Fatty acyl glycosides",NA
"HILIC-pos_Cluster_0873","Fatty acyl glycosides",NA
"HILIC-pos_Cluster_0874","Fatty acyl glycosides",NA
"HILIC-pos_Cluster_0875","Dipeptides",NA
"HILIC-pos_Cluster_0876","Dipeptides",NA
"HILIC-pos_Cluster_0877","Dipeptides",NA
"HILIC-pos_Cluster_0879","Dipeptides",NA
"HILIC-pos_Cluster_0880","Halobenzenes",NA
"HILIC-pos_Cluster_0881","Pentoses",NA
"HILIC-pos_Cluster_0882",NA,NA
"HILIC-pos_Cluster_0883",NA,NA
"HILIC-pos_Cluster_0885","Fatty alcohols",NA
"HILIC-pos_Cluster_0887",NA,NA
"HILIC-pos_Cluster_0890","Dipeptides",NA
"HILIC-pos_Cluster_0891","Beta amino acids and derivatives",NA
"HILIC-pos_Cluster_0892","Benzoic acid esters",NA
